Year,Month,Type,Date, Amount (USD) ,Description
2025,April,Withdrawals / Debits,1-Apr, $350.34 ,5/3 COMMRCL LN #XXXXXXXXXXX0026 PAID BY AUTO BILLPAYER
2025,April,Withdrawals / Debits,8-Apr, $977.22 ,WORLDPAY ACH BILLING 0SW119 ROYALTY BANQUET HALL I 040825
2025,April,Withdrawals / Debits,15-Apr, $619.72 ,IL DEPT OF REVEN EDI EDI PYMNTS 00002069418928 ROYALTY WEST BANQUETS TXP*363216140000*0112*20250331*T*61972  041525
2025,April,Withdrawals / Debits,15-Apr," $2,768.50 ",IRS USATAXPYMT 270550513421464 ROYALTY BANQUET HALL I 041525
2025,April,Withdrawals / Debits,21-Apr," $5,000.00 ",5/3 ONLINE TRANSFER TO CK: XXXXXX5129 REF # 01117609066
2025,April,Withdrawals / Debits,23-Apr," $2,667.00 ",IL DEPT OF REVEN EDI EDI PYMNTS 00001252637616 ROYALTY BANQUET HALL I TXP*16943775*0411*20250331*T*266700  042325
2025,April,Withdrawals / Debits,25-Apr," $5,000.00 ",5/3 ONLINE TRANSFER TO CK: XXXXXX5129 REF # 01119033863
2025,April,Deposits / Credits,3-Apr," $2,273.17 ",DEPOSIT
2025,April,Deposits / Credits,11-Apr, $530.10 ,"5/3 BANKCARD COMB. DEP. 4445061162095 ROYALTY WEST BANQUETS ROYALTY WEST BANQUETS
041225"
2025,April,Deposits / Credits,14-Apr, $4.40 ,"5/3 BANKCARD COMB. DEP. 4445061162095 ROYALTY WEST BANQUETS ROYALTY WEST BANQUETS
041325"
2025,April,Deposits / Credits,21-Apr, $30.80 ,"5/3 BANKCARD COMB. DEP. 4445061162095 ROYALTY WEST BANQUETS ROYALTY WEST BANQUETS
042025"
2025,April,Deposits / Credits,21-Apr," $1,848.40 ","5/3 BANKCARD COMB. DEP. 4445061162095 ROYALTY WEST BANQUETS ROYALTY WEST BANQUETS
042125"
2025,April,Deposits / Credits,22-Apr," $7,330.00 ","5/3 BANKCARD COMB. DEP. 4445061162095 ROYALTY WEST BANQUETS ROYALTY WEST BANQUETS
042325"
2025,April,Deposits / Credits,24-Apr, $9.40 ,"5/3 BANKCARD COMB. DEP. 4445061162095 ROYALTY WEST BANQUETS ROYALTY WEST BANQUETS
042525"
2025,April,Deposits / Credits,25-Apr," $15,840.00 ",DEPOSIT
2025,April,Deposits / Credits,28-Apr, $55.90 ,"5/3 BANKCARD COMB. DEP. 4445061162095 ROYALTY WEST BANQUETS ROYALTY WEST BANQUETS
042725"
2025,April,Deposits / Credits,28-Apr, $459.06 ,"5/3 BANKCARD COMB. DEP. 4445061162095 ROYALTY WEST BANQUETS ROYALTY WEST BANQUETS
042825"
2025,Aug,Withdrawals / Debits,1-Aug, $840.52 ,IL DEPT EMPL SEC UNEMPL TAX 991888768 ROYALTY WEST INC TXP*2131957**991231**0000000000**0000084052**363216140  080125
2025,Aug,Withdrawals / Debits,1-Aug, $133.57 ,5/3 COMMRCL LN #XXXXXXXXXXX0026 PAID BY AUTO BILLPAYER
2025,Aug,Withdrawals / Debits,8-Aug, $736.49 ,WORLDPAY ACH BILLING 0SW119 ROYALTY BANQUET HALL I 080825
2025,Aug,Withdrawals / Debits,13-Aug," $5,000.00 ",5/3 ONLINE TRANSFER TO CK: XXXXXX5129 REF # 01155362821
2025,Aug,Withdrawals / Debits,15-Aug, $946.11 ,IL DEPT OF REVEN EDI EDI PYMNTS 00001583047280 ROYALTY WEST BANQUETS TXP*363216140000*0112*20250930*T*94611  081525
2025,Aug,Withdrawals / Debits,15-Aug," $4,095.66 ",IRS USATAXPYMT 270562762605306 ROYALTY BANQUET HALL I 081525
2025,Aug,Withdrawals / Debits,20-Aug," $3,658.00 ",IL DEPT OF REVEN EDI EDI PYMNTS 00001347793520 ROYALTY BANQUET HALL I TXP*16943775*0411*20250731*T*365800  082025
2025,Aug,Withdrawals / Debits,21-Aug," $1,968.67 ",WEB INITIATED PAYMENT AT SGWS of IL 3056254171 082125
2025,Aug,Withdrawals / Debits,26-Aug," $5,000.00 ",5/3 ONLINE TRANSFER TO CK: XXXXXX5129 REF # 01159606693
2025,Aug,Withdrawals / Debits,29-Aug, $133.58 ,5/3 COMMRCL LN #XXXXXXXXXXX0026 PAID BY AUTO BILLPAYER
2025,Aug,Deposits / Credits,8-Aug, $550.00 ,"5/3 BANKCARD COMB. DEP. 4445061162095 ROYALTY WEST BANQUETS ROYALTY WEST BANQUETS
080925"
2025,Aug,Deposits / Credits,8-Aug," $4,700.00 ",DEPOSIT
2025,Aug,Deposits / Credits,11-Aug," $1,802.22 ","5/3 BANKCARD COMB. DEP. 4445061162095 ROYALTY WEST BANQUETS ROYALTY WEST BANQUETS
081025"
2025,Aug,Deposits / Credits,15-Aug, $24.20 ,"5/3 BANKCARD COMB. DEP. 4445061162095 ROYALTY WEST BANQUETS ROYALTY WEST BANQUETS
081625"
2025,Aug,Deposits / Credits,18-Aug," $3,018.40 ","5/3 BANKCARD COMB. DEP. 4445061162095 ROYALTY WEST BANQUETS ROYALTY WEST BANQUETS
081725"
2025,Aug,Deposits / Credits,19-Aug, $500.00 ,"5/3 BANKCARD COMB. DEP. 4445061162095 ROYALTY WEST BANQUETS ROYALTY WEST BANQUETS
082025"
2025,Aug,Deposits / Credits,21-Aug," $4,015.36 ",DEPOSIT
2025,Aug,Deposits / Credits,21-Aug," $7,346.00 ","5/3 BANKCARD COMB. DEP. 4445061162095 ROYALTY WEST BANQUETS ROYALTY WEST BANQUETS
082225"
2025,Aug,Deposits / Credits,25-Aug," $1,262.40 ","5/3 BANKCARD COMB. DEP. 4445061162095 ROYALTY WEST BANQUETS ROYALTY WEST BANQUETS
082425"
2025,Aug,Deposits / Credits,26-Aug," $4,229.00 ",DEPOSIT
2024,Dec,Withdrawals / Debits,3-Dec," $2,330.49 ",Breakthru Bevera Payments FT357592058 120324
2024,Dec,Withdrawals / Debits,3-Dec," $3,000.00 ",5/3 ONLINE TRANSFER TO CK: XXXXXX5129 REF # 01073543064
2024,Dec,Withdrawals / Debits,4-Dec," $2,300.00 ","5/3 BANKCARD COMB. EXC. 4445061162095 ROYALTY WEST BANQUETS ROYALTY WEST BANQUETS
120424"
2024,Dec,Withdrawals / Debits,9-Dec," $4,000.00 ",5/3 ONLINE TRANSFER TO CK: XXXXXX5129 REF # 01074945610
2024,Dec,Withdrawals / Debits,10-Dec, $251.43 ,FIFTH THIRD ACH MPS BILLNG 0SW119 ROYALTY BANQUET HALL I 121024
2024,Dec,Withdrawals / Debits,16-Dec, $773.31 ,IL DEPT OF REVEN EDI EDI PYMNTS 00001207397040 ROYALTY WEST BANQUETS TXP*363216140000*0112*20241231*T*77331  121624
2024,Dec,Withdrawals / Debits,16-Dec," $3,459.90 ",IRS USATAXPYMT 270475144202029 ROYALTY BANQUET HALL I 121624
2024,Dec,Withdrawals / Debits,19-Dec," $7,000.00 ",5/3 ONLINE TRANSFER TO CK: XXXXXX5129 REF # 01078634916
2024,Dec,Withdrawals / Debits,20-Dec," $1,361.00 ",IL DEPT OF REVEN EDI EDI PYMNTS 00000006978224 ROYALTY BANQUET HALL I TXP*16943775*0411*20241130*T*136100  122024
2024,Dec,Withdrawals / Debits,27-Dec," $3,000.00 ",5/3 ONLINE TRANSFER TO CK: XXXXXX5129 REF # 01081111360
2024,Dec,Withdrawals / Debits,31-Dec, $904.61 ,Breakthru Bevera Payments FT361002456 123124
2024,Dec,Withdrawals / Debits,31-Dec, $76.18 ,5/3 COMMRCL LN #XXXXXXXXXXX0026 PAID BY AUTO BILLPAYER
2024,Dec,Deposits / Credits,4-Dec," $2,800.00 ","5/3 BANKCARD COMB. DEP. 4445061162095 ROYALTY WEST BANQUETS ROYALTY WEST BANQUETS
120524"
2024,Dec,Deposits / Credits,5-Dec, $200.00 ,"5/3 BANKCARD COMB. DEP. 4445061162095 ROYALTY WEST BANQUETS ROYALTY WEST BANQUETS
120624"
2024,Dec,Deposits / Credits,5-Dec," $4,033.00 ",DEPOSIT
2024,Dec,Deposits / Credits,6-Dec, $549.59 ,"5/3 BANKCARD COMB. DEP. 4445061162095 ROYALTY WEST BANQUETS ROYALTY WEST BANQUETS
120724"
2024,Dec,Deposits / Credits,9-Dec, $28.16 ,"5/3 BANKCARD COMB. DEP. 4445061162095 ROYALTY WEST BANQUETS ROYALTY WEST BANQUETS
120924"
2024,Dec,Deposits / Credits,9-Dec," $14,307.00 ",DEPOSIT
2024,Dec,Deposits / Credits,10-Dec," $27,998.89 ",DEPOSIT
2024,Dec,Deposits / Credits,13-Dec," $2,621.44 ",DEPOSIT
2024,Dec,Deposits / Credits,17-Dec," $18,931.20 ",DEPOSIT
2025,Feb,Withdrawals / Debits,3-Feb," $1,384.06 ",IL DEPT EMPL SEC UNEMPL TAX 2019647104 ROYALTY WEST INC TXP*2131957**991231**0000000000**0000138406**363216140  020325
2025,Feb,Withdrawals / Debits,10-Feb, $160.23 ,FIFTH THIRD ACH MPS BILLNG 0SW119 ROYALTY BANQUET HALL I 021025
2025,Feb,Withdrawals / Debits,12-Feb," $3,000.00 ",5/3 ONLINE TRANSFER TO CK: XXXXXX5129 REF # 01095363339
2025,Feb,Withdrawals / Debits,18-Feb, $745.82 ,IL DEPT OF REVEN EDI EDI PYMNTS 00002044938672 ROYALTY WEST BANQUETS TXP*363216140000*0112*20250331*T*74582  021825
2025,Feb,Withdrawals / Debits,18-Feb," $3,382.34 ",IRS USATAXPYMT 270544905232839 ROYALTY BANQUET HALL I 021825
2025,Feb,Withdrawals / Debits,20-Feb, $969.84 ,WEB INITIATED PAYMENT AT SGWS of IL 3056254171 022025
2025,Feb,Withdrawals / Debits,20-Feb," $1,859.00 ",IL DEPT OF REVEN EDI EDI PYMNTS 00002039110064 ROYALTY BANQUET HALL I TXP*16943775*0411*20250131*T*185900  022025
2025,Feb,Withdrawals / Debits,25-Feb," $1,359.96 ",Breakthru Bevera Payments FT368646706 022525
2025,Feb,Withdrawals / Debits,25-Feb," $5,000.00 ",5/3 ONLINE TRANSFER TO CK: XXXXXX5129 REF # 01099335486
2025,Feb,Withdrawals / Debits,28-Feb, $103.41 ,5/3 COMMRCL LN #XXXXXXXXXXX0026 PAID BY AUTO BILLPAYER
2025,Feb,Deposits / Credits,5-Feb," $2,386.52 ",DEPOSIT
2025,Feb,Deposits / Credits,7-Feb," $2,008.75 ","5/3 BANKCARD COMB. DEP. 4445061162095 ROYALTY WEST BANQUETS ROYALTY WEST BANQUETS
020825"
2025,Feb,Deposits / Credits,18-Feb," $1,000.00 ","5/3 BANKCARD COMB. DEP. 4445061162095 ROYALTY WEST BANQUETS ROYALTY WEST BANQUETS
021925"
2025,Feb,Deposits / Credits,18-Feb," $2,000.00 ","5/3 BANKCARD COMB. DEP. 4445061162095 ROYALTY WEST BANQUETS ROYALTY WEST BANQUETS
021725"
2025,Feb,Deposits / Credits,18-Feb," $2,396.16 ",DEPOSIT
2025,Feb,Deposits / Credits,18-Feb," $12,000.00 ",FUNDS TRANSFER FROM CL: XXXXXXXXXXXX0026 REF # 00735830770
2025,Feb,Deposits / Credits,20-Feb," $2,000.00 ","5/3 BANKCARD COMB. DEP. 4445061162095 ROYALTY WEST BANQUETS ROYALTY WEST BANQUETS
022125"
2025,Feb,Deposits / Credits,24-Feb, $230.96 ,"5/3 BANKCARD COMB. DEP. 4445061162095 ROYALTY WEST BANQUETS ROYALTY WEST BANQUETS
022325"
2025,Feb,Deposits / Credits,25-Feb," $5,421.52 ",DEPOSIT
2025,Feb,Deposits / Credits,28-Feb, $25.10 ,"5/3 BANKCARD COMB. DEP. 4445061162095 ROYALTY WEST BANQUETS ROYALTY WEST BANQUETS
030125"
2025,Jan,Withdrawals / Debits,15-Jan, $796.65 ,IL DEPT OF REVEN EDI EDI PYMNTS 00000540358320 ROYALTY WEST BANQUETS TXP*363216140000*0112*20241231*T*79665  011525
2025,Jan,Withdrawals / Debits,15-Jan," $3,556.92 ",IRS USATAXPYMT 270541592827250 ROYALTY BANQUET HALL I 011525
2025,Jan,Withdrawals / Debits,21-Jan," $5,133.00 ",IL DEPT OF REVEN EDI EDI PYMNTS 00001553821360 ROYALTY BANQUET HALL I TXP*16943775*0411*20241231*T*513300  012125
2025,Jan,Withdrawals / Debits,21-Jan," $4,000.00 ",5/3 ONLINE TRANSFER TO CK: XXXXXX5129 REF # 01088493410
2025,Jan,Withdrawals / Debits,28-Jan," $3,000.00 ",5/3 ONLINE TRANSFER TO CK: XXXXXX5129 REF # 01090549125
2025,Jan,Withdrawals / Debits,31-Jan, $162.62 ,IRS USATAXPYMT 270543115997311 ROYALTY BANQUET HALL I 013125
2025,Jan,Withdrawals / Debits,31-Jan, $75.10 ,5/3 COMMRCL LN #XXXXXXXXXXX0026 PAID BY AUTO BILLPAYER
2025,Jan,Deposits / Credits,2-Jan, $138.10 ,"5/3 BANKCARD COMB. DEP. 4445061162095 ROYALTY WEST BANQUETS ROYALTY WEST BANQUETS
010225"
2025,Jan,Deposits / Credits,2-Jan," $4,315.20 ",DEPOSIT
2025,Jan,Deposits / Credits,7-Jan," $1,000.00 ","5/3 BANKCARD COMB. DEP. 4445061162095 ROYALTY WEST BANQUETS ROYALTY WEST BANQUETS
010825"
2025,Jan,Deposits / Credits,10-Jan, $621.76 ,"5/3 BANKCARD COMB. DEP. 4445061162095 ROYALTY WEST BANQUETS ROYALTY WEST BANQUETS
011125"
2025,Jan,Deposits / Credits,13-Jan," $1,000.00 ","5/3 BANKCARD COMB. DEP. 4445061162095 ROYALTY WEST BANQUETS ROYALTY WEST BANQUETS
011225"
2025,Jan,Deposits / Credits,14-Jan," $12,004.70 ",DEPOSIT
2025,Jan,Deposits / Credits,22-Jan," $1,000.00 ","5/3 BANKCARD COMB. DEP. 4445061162095 ROYALTY WEST BANQUETS ROYALTY WEST BANQUETS
012325"
2025,Jan,Deposits / Credits,27-Jan," $2,069.30 ","5/3 BANKCARD COMB. DEP. 4445061162095 ROYALTY WEST BANQUETS ROYALTY WEST BANQUETS
012725"
2025,Jan,Deposits / Credits,31-Jan, $22.70 ,"5/3 BANKCARD COMB. DEP. 4445061162095 ROYALTY WEST BANQUETS ROYALTY WEST BANQUETS
020125"
2025,July,Withdrawals / Debits,1-Jul, $133.32 ,5/3 COMMRCL LN #XXXXXXXXXXX0026 PAID BY AUTO BILLPAYER
2025,July,Withdrawals / Debits,8-Jul, $323.05 ,WORLDPAY ACH BILLING 0SW119 ROYALTY BANQUET HALL I 070825
2025,July,Withdrawals / Debits,8-Jul," $3,485.52 ",Breakthru Bevera Payments FT387285687 070825
2025,July,Withdrawals / Debits,15-Jul, $656.87 ,IL DEPT OF REVEN EDI EDI PYMNTS 00001225128048 ROYALTY WEST BANQUETS TXP*363216140000*0112*20250630*T*65687  071525
2025,July,Withdrawals / Debits,15-Jul," $2,789.24 ",IRS USATAXPYMT 270559681551275 ROYALTY BANQUET HALL I 071525
2025,July,Withdrawals / Debits,15-Jul," $5,000.00 ",5/3 ONLINE TRANSFER TO CK: XXXXXX5129 REF # 01145630094
2025,July,Withdrawals / Debits,21-Jul," $4,244.00 ",IL DEPT OF REVEN EDI EDI PYMNTS 00002110338160 ROYALTY BANQUET HALL I TXP*16943775*0411*20250630*T*424400  072125
2025,July,Withdrawals / Debits,30-Jul," $7,000.00 ",5/3 ONLINE TRANSFER TO CK: XXXXXX5129 REF # 01150598559
2025,July,Deposits / Credits,3-Jul," $4,893.00 ","5/3 BANKCARD COMB. DEP. 4445061162095 ROYALTY WEST BANQUETS ROYALTY WEST BANQUETS
070425"
2025,July,Deposits / Credits,9-Jul, $500.00 ,"5/3 BANKCARD COMB. DEP. 4445061162095 ROYALTY WEST BANQUETS ROYALTY WEST BANQUETS
071025"
2025,July,Deposits / Credits,9-Jul," $4,944.00 ",DEPOSIT
2025,July,Deposits / Credits,11-Jul, $44.40 ,"5/3 BANKCARD COMB. DEP. 4445061162095 ROYALTY WEST BANQUETS ROYALTY WEST BANQUETS
071225"
2025,July,Deposits / Credits,14-Jul, $122.20 ,"5/3 BANKCARD COMB. DEP. 4445061162095 ROYALTY WEST BANQUETS ROYALTY WEST BANQUETS
071425"
2025,July,Deposits / Credits,16-Jul," $7,486.80 ",DEPOSIT
2025,July,Deposits / Credits,16-Jul," $12,500.00 ","5/3 BANKCARD COMB. DEP. 4445061162095 ROYALTY WEST BANQUETS ROYALTY WEST BANQUETS
071725"
2025,July,Deposits / Credits,18-Jul, $19.80 ,"5/3 BANKCARD COMB. DEP. 4445061162095 ROYALTY WEST BANQUETS ROYALTY WEST BANQUETS
071925"
2025,July,Deposits / Credits,21-Jul," $2,822.20 ","5/3 BANKCARD COMB. DEP. 4445061162095 ROYALTY WEST BANQUETS ROYALTY WEST BANQUETS
072025"
2025,July,Deposits / Credits,23-Jul," $5,726.80 ",DEPOSIT
2025,July,Deposits / Credits,24-Jul," $2,000.00 ","5/3 BANKCARD COMB. DEP. 4445061162095 ROYALTY WEST BANQUETS ROYALTY WEST BANQUETS
072525"
2025,July,Deposits / Credits,25-Jul," $2,496.00 ","5/3 BANKCARD COMB. DEP. 4445061162095 ROYALTY WEST BANQUETS ROYALTY WEST BANQUETS
072625"
2025,July,Deposits / Credits,28-Jul," $2,302.68 ","5/3 BANKCARD COMB. DEP. 4445061162095 ROYALTY WEST BANQUETS ROYALTY WEST BANQUETS
072825"
2025,June,Withdrawals / Debits,3-Jun," $5,000.00 ",5/3 ONLINE TRANSFER TO CK: XXXXXX5129 REF # 01131850421
2025,June,Withdrawals / Debits,4-Jun," $5,000.00 ",FUNDS TRANSFER TO CL: XXXXXXXXXXXX0026 REF # 00790517627
2025,June,Withdrawals / Debits,10-Jun, $921.57 ,WORLDPAY ACH BILLING 0SW119 ROYALTY BANQUET HALL I 061025
2025,June,Withdrawals / Debits,10-Jun," $1,129.38 ",Breakthru Bevera Payments FT383721551 061025
2025,June,Withdrawals / Debits,16-Jun, $707.11 ,IL DEPT OF REVEN EDI EDI PYMNTS 00000140071024 ROYALTY WEST BANQUETS TXP*363216140000*0112*20250630*T*70711  061625
2025,June,Withdrawals / Debits,16-Jun," $3,067.58 ",IRS USATAXPYMT 270556744862075 ROYALTY BANQUET HALL I 061625
2025,June,Withdrawals / Debits,17-Jun," $5,000.00 ",5/3 ONLINE TRANSFER TO CK: XXXXXX5129 REF # 01136444736
2025,June,Withdrawals / Debits,20-Jun," $2,823.00 ",IL DEPT OF REVEN EDI EDI PYMNTS 00001334806640 ROYALTY BANQUET HALL I TXP*16943775*0411*20250531*T*282300  062025
2025,June,Withdrawals / Debits,23-Jun, $823.95 ,WEB INITIATED PAYMENT AT SGWS of IL 3056254171 062325
2025,June,Withdrawals / Debits,24-Jun, $845.99 ,Breakthru Bevera Payments FT385271988 062425
2025,June,Withdrawals / Debits,25-Jun," $10,000.00 ",5/3 ONLINE TRANSFER TO CK: XXXXXX5129 REF # 01139000438
2025,June,Deposits / Credits,2-Jun," $5,647.60 ","5/3 BANKCARD COMB. DEP. 4445061162095 ROYALTY WEST BANQUETS ROYALTY WEST BANQUETS
060125"
2025,June,Deposits / Credits,6-Jun," $1,041.50 ","5/3 BANKCARD COMB. DEP. 4445061162095 ROYALTY WEST BANQUETS ROYALTY WEST BANQUETS
060725"
2025,June,Deposits / Credits,16-Jun," $4,476.00 ",DEPOSIT
2025,June,Deposits / Credits,17-Jun," $11,023.20 ","5/3 BANKCARD COMB. DEP. 4445061162095 ROYALTY WEST BANQUETS ROYALTY WEST BANQUETS
061825"
2025,June,Deposits / Credits,18-Jun," $20,000.00 ",DEPOSIT
2025,June,Deposits / Credits,20-Jun, $63.22 ,"5/3 BANKCARD COMB. DEP. 4445061162095 ROYALTY WEST BANQUETS ROYALTY WEST BANQUETS
062125"
2025,June,Deposits / Credits,20-Jun," $10,000.00 ",DEPOSIT
2025,June,Deposits / Credits,23-Jun, $12.50 ,"5/3 BANKCARD COMB. DEP. 4445061162095 ROYALTY WEST BANQUETS ROYALTY WEST BANQUETS
062225"
2025,June,Deposits / Credits,26-Jun," $4,500.00 ",DEPOSIT
