Brand,Grade,Pack_L,Oil_Type,Tier,Mkt_Min_PKR_L,Mkt_Med_PKR_L,Mkt_Max_PKR_L,Mkt_Listing_Count,F1_VBT_Price_L,F1_VBT_Rationale,F2_CRP_Price_L,F2_CRP_Rationale,F3_PPA_Price_L,F3_PPA_Rationale,F4_Waterfall_Floor_L,F4_Waterfall_Rationale,F5_Spec_Price_L,F5_Spec_Rationale,F6_South_Price_L,F6_Central_Price_L,F6_North_Price_L,F6_Geo_Rationale,F7_BOI_Floor_L,F7_BOI_Rationale,Recommended_Price_L,Recommended_Price_PKR,Confidence,Synthesis_Rationale,F8_Retail_Pump_L,F8_Workshop_L,F8_Distributor_L,F8_Fleet_Contract_L,F8_Channel_Rationale,Rec_vs_Market_Med_Pct,Market_Signal
PSO Carient SPRO,15W-40,3.0,PCMO,Economy,1088.0,1750.0,2262.0,14,,No Shell economy data found for 15W-40 3.0L on Daraz.,1698.0,"Market (widened to all packs): min Rs 1,088/L, median Rs 1,750/L, max Rs 2,262/L (14 listings). CRP target: 3% below median = Rs 1,698/L. Positions PSO as best-value-in-class, not cheapest.",1960.0,"4L market anchor = Rs 1,750/L. PPA multiplier for 3.0L pack = 1.12x (12% premium vs 4L). Recommended: Rs 1,960/L. Ensures per-litre price ladder is legible to buyers.",921.0,"Cost build-up: base oil (Group II) Rs 420/L + additive Rs 120/L + packaging Rs 35/L = Rs 575/L. Target pocket margin (economy): 22%. Pocket price floor: Rs 737/L. After fleet discount (-20%), minimum list price: Rs 921/L. Any price below this destroys margin at the fleet channel.",1088.0,"Economy baseline (15W-40) = Rs 1,088/L. PSO Carient SPRO spec: API SN / SM (mineral, Group I). International OEM approval premium for this spec: +0%. Spec-justified price: Rs 1,088/L. Premium only realised if spec is communicated at point of sale.",1698.0,1732.0,1647.0,"National list price (F2 CRP) = Rs 1,698/L. Central: +2% vs national (source: regional baseline) | North: -3% vs national (source: PCMO North soft YoY growth). Suggest applying as quarterly promotional price, not permanent list change.",1652.0,"Grade 15W-40 requires Group II base oil. Import cost floor: Rs 420/L. Additive package: Rs 120/L. Total manufacturing cost: Rs 590/L. At 2.8x markup (industry standard for retail lubes): BOI floor = Rs 1,652/L. Pricing below this implies margin destruction or subsidised base oil.",1575.0,4725.0,HIGH,"Weighted synthesis (F2_CRP=Rs 1,698 | F3_PPA=Rs 1,960 | F5_SPEC=Rs 1,088 | F4_PW=Rs 921). Weights: F1=30%, F2=30%, F3=20%, F5=10%, F4=10%. Raw weighted = Rs 1,575/L. Above F4 floor Rs 921/L — margin is protected.",1575.0,1386.0,1339.0,1260.0,"List price Rs 1,575/L. Workshop (-12%): Rs 1,386/L. Distributor (-15%): Rs 1,339/L. Fleet contract (-20%): Rs 1,260/L. Fleet price should never cross the F4 waterfall floor.",-10.0,VALUE POSITION
PSO Carient SPRO,20W-50,3.0,PCMO,Economy,927.0,1183.0,1900.0,33,,No Shell economy data found for 20W-50 3.0L on Daraz.,1148.0,"Market 3.0L: min Rs 927/L, median Rs 1,183/L, max Rs 1,900/L (33 listings). CRP target: 3% below median = Rs 1,148/L. Positions PSO as best-value-in-class, not cheapest.",1148.0,"4L market anchor = Rs 1,025/L. PPA multiplier for 3.0L pack = 1.12x (12% premium vs 4L). Recommended: Rs 1,148/L. Ensures per-litre price ladder is legible to buyers.",649.0,"Cost build-up: base oil (Group I) Rs 280/L + additive Rs 90/L + packaging Rs 35/L = Rs 405/L. Target pocket margin (economy): 22%. Pocket price floor: Rs 519/L. After fleet discount (-20%), minimum list price: Rs 649/L. Any price below this destroys margin at the fleet channel.",796.0,"Economy baseline (20W-50) = Rs 796/L. PSO Carient SPRO spec: API SN / SM (mineral, Group I). International OEM approval premium for this spec: +0%. Spec-justified price: Rs 796/L. Premium only realised if spec is communicated at point of sale.",1148.0,1171.0,1114.0,"National list price (F2 CRP) = Rs 1,148/L. Central: +2% vs national (source: regional baseline) | North: -3% vs national (source: PCMO North soft YoY growth). Suggest applying as quarterly promotional price, not permanent list change.",1176.0,"Grade 20W-50 requires Group I base oil. Import cost floor: Rs 280/L. Additive package: Rs 90/L. Total manufacturing cost: Rs 420/L. At 2.8x markup (industry standard for retail lubes): BOI floor = Rs 1,176/L. Pricing below this implies margin destruction or subsidised base oil.",1026.0,3078.0,HIGH,"Weighted synthesis (F2_CRP=Rs 1,148 | F3_PPA=Rs 1,148 | F5_SPEC=Rs 796 | F4_PW=Rs 649). Weights: F1=30%, F2=30%, F3=20%, F5=10%, F4=10%. Raw weighted = Rs 1,026/L. Above F4 floor Rs 649/L — margin is protected.",1026.0,903.0,872.0,821.0,"List price Rs 1,026/L. Workshop (-12%): Rs 903/L. Distributor (-15%): Rs 872/L. Fleet contract (-20%): Rs 821/L. Fleet price should never cross the F4 waterfall floor.",-13.3,VALUE POSITION
PSO Carient SPRO,15W-40,4.0,PCMO,Economy,1088.0,1750.0,2262.0,14,,No Shell economy data found for 15W-40 4.0L on Daraz.,1698.0,"Market 4.0L: min Rs 1,088/L, median Rs 1,750/L, max Rs 2,262/L (14 listings). CRP target: 3% below median = Rs 1,698/L. Positions PSO as best-value-in-class, not cheapest.",1750.0,"4L market anchor = Rs 1,750/L. PPA multiplier for 4.0L pack = 1.00x (0% discount vs 4L). Recommended: Rs 1,750/L. Ensures per-litre price ladder is legible to buyers.",921.0,"Cost build-up: base oil (Group II) Rs 420/L + additive Rs 120/L + packaging Rs 35/L = Rs 575/L. Target pocket margin (economy): 22%. Pocket price floor: Rs 737/L. After fleet discount (-20%), minimum list price: Rs 921/L. Any price below this destroys margin at the fleet channel.",1088.0,"Economy baseline (15W-40) = Rs 1,088/L. PSO Carient SPRO spec: API SN / SM (mineral, Group I). International OEM approval premium for this spec: +0%. Spec-justified price: Rs 1,088/L. Premium only realised if spec is communicated at point of sale.",1698.0,1732.0,1647.0,"National list price (F2 CRP) = Rs 1,698/L. Central: +2% vs national (source: regional baseline) | North: -3% vs national (source: PCMO North soft YoY growth). Suggest applying as quarterly promotional price, not permanent list change.",1652.0,"Grade 15W-40 requires Group II base oil. Import cost floor: Rs 420/L. Additive package: Rs 120/L. Total manufacturing cost: Rs 590/L. At 2.8x markup (industry standard for retail lubes): BOI floor = Rs 1,652/L. Pricing below this implies margin destruction or subsidised base oil.",1515.0,6060.0,HIGH,"Weighted synthesis (F2_CRP=Rs 1,698 | F3_PPA=Rs 1,750 | F5_SPEC=Rs 1,088 | F4_PW=Rs 921). Weights: F1=30%, F2=30%, F3=20%, F5=10%, F4=10%. Raw weighted = Rs 1,515/L. Above F4 floor Rs 921/L — margin is protected.",1515.0,1333.0,1288.0,1212.0,"List price Rs 1,515/L. Workshop (-12%): Rs 1,333/L. Distributor (-15%): Rs 1,288/L. Fleet contract (-20%): Rs 1,212/L. Fleet price should never cross the F4 waterfall floor.",-13.4,VALUE POSITION
PSO Carient SPRO,20W-50,4.0,PCMO,Economy,796.0,1025.0,2375.0,79,,No Shell economy data found for 20W-50 4.0L on Daraz.,994.0,"Market 4.0L: min Rs 796/L, median Rs 1,025/L, max Rs 2,375/L (79 listings). CRP target: 3% below median = Rs 994/L. Positions PSO as best-value-in-class, not cheapest.",1025.0,"4L market anchor = Rs 1,025/L. PPA multiplier for 4.0L pack = 1.00x (0% discount vs 4L). Recommended: Rs 1,025/L. Ensures per-litre price ladder is legible to buyers.",649.0,"Cost build-up: base oil (Group I) Rs 280/L + additive Rs 90/L + packaging Rs 35/L = Rs 405/L. Target pocket margin (economy): 22%. Pocket price floor: Rs 519/L. After fleet discount (-20%), minimum list price: Rs 649/L. Any price below this destroys margin at the fleet channel.",796.0,"Economy baseline (20W-50) = Rs 796/L. PSO Carient SPRO spec: API SN / SM (mineral, Group I). International OEM approval premium for this spec: +0%. Spec-justified price: Rs 796/L. Premium only realised if spec is communicated at point of sale.",994.0,1014.0,964.0,"National list price (F2 CRP) = Rs 994/L. Central: +2% vs national (source: regional baseline) | North: -3% vs national (source: PCMO North soft YoY growth). Suggest applying as quarterly promotional price, not permanent list change.",1176.0,"Grade 20W-50 requires Group I base oil. Import cost floor: Rs 280/L. Additive package: Rs 90/L. Total manufacturing cost: Rs 420/L. At 2.8x markup (industry standard for retail lubes): BOI floor = Rs 1,176/L. Pricing below this implies margin destruction or subsidised base oil.",925.0,3700.0,HIGH,"Weighted synthesis (F2_CRP=Rs 994 | F3_PPA=Rs 1,025 | F5_SPEC=Rs 796 | F4_PW=Rs 649). Weights: F1=30%, F2=30%, F3=20%, F5=10%, F4=10%. Raw weighted = Rs 925/L. Above F4 floor Rs 649/L — margin is protected.",925.0,814.0,786.0,740.0,List price Rs 925/L. Workshop (-12%): Rs 814/L. Distributor (-15%): Rs 786/L. Fleet contract (-20%): Rs 740/L. Fleet price should never cross the F4 waterfall floor.,-9.8,AT MARKET
PSO Carient FS,5W-30,4.0,PCMO,Premium,876.0,1019.0,1500.0,22,874.0,Shell premium equivalent median = Rs 930/L. PSO brand perception discount = 6% (narrows as Carient brand equity grows). Recommended: Rs 874/L.,988.0,"Market 4.0L: min Rs 876/L, median Rs 1,019/L, max Rs 1,500/L (22 listings). CRP target: 3% below median = Rs 988/L. Positions PSO as best-value-in-class, not cheapest.",1019.0,"4L market anchor = Rs 1,019/L. PPA multiplier for 4.0L pack = 1.00x (0% discount vs 4L). Recommended: Rs 1,019/L. Ensures per-litre price ladder is legible to buyers.",2006.0,"Cost build-up: base oil (Group III) Rs 680/L + additive Rs 280/L + packaging Rs 35/L = Rs 995/L. Target pocket margin (premium): 38%. Pocket price floor: Rs 1,605/L. After fleet discount (-20%), minimum list price: Rs 2,006/L. Any price below this destroys margin at the fleet channel.",1034.0,"Economy baseline (5W-30) = Rs 876/L. PSO Carient FS spec: API SN+ / ACEA A3 (semi-synthetic, Group II/III blend). International OEM approval premium for this spec: +18%. Spec-justified price: Rs 1,034/L. Premium only realised if spec is communicated at point of sale.",988.0,1008.0,958.0,"National list price (F2 CRP) = Rs 988/L. Central: +2% vs national (source: regional baseline) | North: -3% vs national (source: PCMO North soft YoY growth). Suggest applying as quarterly promotional price, not permanent list change.",2828.0,"Grade 5W-30 requires Group III base oil. Import cost floor: Rs 680/L. Additive package: Rs 280/L. Total manufacturing cost: Rs 1010/L. At 2.8x markup (industry standard for retail lubes): BOI floor = Rs 2,828/L. Pricing below this implies margin destruction or subsidised base oil.",2006.0,8024.0,HIGH,"Weighted synthesis (F1_VBT=Rs 874 | F2_CRP=Rs 988 | F3_PPA=Rs 1,019 | F5_SPEC=Rs 1,034 | F4_PW=Rs 2,006). Weights: F1=30%, F2=30%, F3=20%, F5=10%, F4=10%. Raw weighted = Rs 1,066/L. Adjusted UP to F4 floor Rs 2,006/L (margin protection).",2006.0,1765.0,1705.0,1605.0,"List price Rs 2,006/L. Workshop (-12%): Rs 1,765/L. Distributor (-15%): Rs 1,705/L. Fleet contract (-20%): Rs 1,605/L. Fleet price should never cross the F4 waterfall floor.",96.9,PREMIUM
PSO Carient FS,5W-40,4.0,PCMO,Premium,2750.0,3412.0,4350.0,13,,No Shell premium data found for 5W-40 4.0L on Daraz.,3310.0,"Market 4.0L: min Rs 2,750/L, median Rs 3,412/L, max Rs 4,350/L (13 listings). CRP target: 3% below median = Rs 3,310/L. Positions PSO as best-value-in-class, not cheapest.",3412.0,"4L market anchor = Rs 3,412/L. PPA multiplier for 4.0L pack = 1.00x (0% discount vs 4L). Recommended: Rs 3,412/L. Ensures per-litre price ladder is legible to buyers.",1966.0,"Cost build-up: base oil (Group III) Rs 680/L + additive Rs 260/L + packaging Rs 35/L = Rs 975/L. Target pocket margin (premium): 38%. Pocket price floor: Rs 1,573/L. After fleet discount (-20%), minimum list price: Rs 1,966/L. Any price below this destroys margin at the fleet channel.",3245.0,"Economy baseline (5W-40) = Rs 2,750/L. PSO Carient FS spec: API SN+ / ACEA A3 (semi-synthetic, Group II/III blend). International OEM approval premium for this spec: +18%. Spec-justified price: Rs 3,245/L. Premium only realised if spec is communicated at point of sale.",3310.0,3376.0,3211.0,"National list price (F2 CRP) = Rs 3,310/L. Central: +2% vs national (source: regional baseline) | North: -3% vs national (source: PCMO North soft YoY growth). Suggest applying as quarterly promotional price, not permanent list change.",2772.0,"Grade 5W-40 requires Group III base oil. Import cost floor: Rs 680/L. Additive package: Rs 260/L. Total manufacturing cost: Rs 990/L. At 2.8x markup (industry standard for retail lubes): BOI floor = Rs 2,772/L. Pricing below this implies margin destruction or subsidised base oil.",3138.0,12552.0,HIGH,"Weighted synthesis (F2_CRP=Rs 3,310 | F3_PPA=Rs 3,412 | F5_SPEC=Rs 3,245 | F4_PW=Rs 1,966). Weights: F1=30%, F2=30%, F3=20%, F5=10%, F4=10%. Raw weighted = Rs 3,138/L. Above F4 floor Rs 1,966/L — margin is protected.",3138.0,2761.0,2667.0,2510.0,"List price Rs 3,138/L. Workshop (-12%): Rs 2,761/L. Distributor (-15%): Rs 2,667/L. Fleet contract (-20%): Rs 2,510/L. Fleet price should never cross the F4 waterfall floor.",-8.0,AT MARKET
PSO Carient FS,10W-40,4.0,PCMO,Premium,922.0,1025.0,2150.0,76,,No Shell premium data found for 10W-40 4.0L on Daraz.,994.0,"Market 4.0L: min Rs 922/L, median Rs 1,025/L, max Rs 2,150/L (76 listings). CRP target: 3% below median = Rs 994/L. Positions PSO as best-value-in-class, not cheapest.",1025.0,"4L market anchor = Rs 1,025/L. PPA multiplier for 4.0L pack = 1.00x (0% discount vs 4L). Recommended: Rs 1,025/L. Ensures per-litre price ladder is legible to buyers.",1200.0,"Cost build-up: base oil (Group II) Rs 420/L + additive Rs 140/L + packaging Rs 35/L = Rs 595/L. Target pocket margin (premium): 38%. Pocket price floor: Rs 960/L. After fleet discount (-20%), minimum list price: Rs 1,200/L. Any price below this destroys margin at the fleet channel.",1073.0,"Economy baseline (10W-40) = Rs 909/L. PSO Carient FS spec: API SN+ / ACEA A3 (semi-synthetic, Group II/III blend). International OEM approval premium for this spec: +18%. Spec-justified price: Rs 1,073/L. Premium only realised if spec is communicated at point of sale.",994.0,1014.0,964.0,"National list price (F2 CRP) = Rs 994/L. Central: +2% vs national (source: regional baseline) | North: -3% vs national (source: PCMO North soft YoY growth). Suggest applying as quarterly promotional price, not permanent list change.",1708.0,"Grade 10W-40 requires Group II base oil. Import cost floor: Rs 420/L. Additive package: Rs 140/L. Total manufacturing cost: Rs 610/L. At 2.8x markup (industry standard for retail lubes): BOI floor = Rs 1,708/L. Pricing below this implies margin destruction or subsidised base oil.",1200.0,4800.0,HIGH,"Weighted synthesis (F2_CRP=Rs 994 | F3_PPA=Rs 1,025 | F5_SPEC=Rs 1,073 | F4_PW=Rs 1,200). Weights: F1=30%, F2=30%, F3=20%, F5=10%, F4=10%. Raw weighted = Rs 1,044/L. Adjusted UP to F4 floor Rs 1,200/L (margin protection).",1200.0,1056.0,1020.0,960.0,"List price Rs 1,200/L. Workshop (-12%): Rs 1,056/L. Distributor (-15%): Rs 1,020/L. Fleet contract (-20%): Rs 960/L. Fleet price should never cross the F4 waterfall floor.",17.1,PREMIUM
PSO Carient Ultra,0W-20,1.0,PCMO,Super Premium,3375.0,3412.0,4012.0,8,,No Shell super_premium data found for 0W-20 1.0L on Daraz.,3310.0,"Market (widened to all packs): min Rs 3,375/L, median Rs 3,412/L, max Rs 4,012/L (8 listings). CRP target: 3% below median = Rs 3,310/L. Positions PSO as best-value-in-class, not cheapest.",4777.0,"4L market anchor = Rs 3,412/L. PPA multiplier for 1.0L pack = 1.40x (40% premium vs 4L). Recommended: Rs 4,777/L. Ensures per-litre price ladder is legible to buyers.",2409.0,"Cost build-up: base oil (Group III) Rs 680/L + additive Rs 320/L + packaging Rs 60/L = Rs 1060/L. Target pocket margin (super_premium): 45%. Pocket price floor: Rs 1,927/L. After fleet discount (-20%), minimum list price: Rs 2,409/L. Any price below this destroys margin at the fleet channel.",4320.0,"Economy baseline (0W-20) = Rs 3,375/L. PSO Carient Ultra spec: API SP / ACEA A5 (fully synthetic, Group III+). International OEM approval premium for this spec: +28%. Spec-justified price: Rs 4,320/L. Premium only realised if spec is communicated at point of sale.",3310.0,3376.0,3211.0,"National list price (F2 CRP) = Rs 3,310/L. Central: +2% vs national (source: regional baseline) | North: -3% vs national (source: PCMO North soft YoY growth). Suggest applying as quarterly promotional price, not permanent list change.",2940.0,"Grade 0W-20 requires Group III base oil. Import cost floor: Rs 680/L. Additive package: Rs 320/L. Total manufacturing cost: Rs 1050/L. At 2.8x markup (industry standard for retail lubes): BOI floor = Rs 2,940/L. Pricing below this implies margin destruction or subsidised base oil.",3745.0,3745.0,HIGH,"Weighted synthesis (F2_CRP=Rs 3,310 | F3_PPA=Rs 4,777 | F5_SPEC=Rs 4,320 | F4_PW=Rs 2,409). Weights: F1=30%, F2=30%, F3=20%, F5=10%, F4=10%. Raw weighted = Rs 3,745/L. Above F4 floor Rs 2,409/L — margin is protected.",3745.0,3296.0,3183.0,2996.0,"List price Rs 3,745/L. Workshop (-12%): Rs 3,296/L. Distributor (-15%): Rs 3,183/L. Fleet contract (-20%): Rs 2,996/L. Fleet price should never cross the F4 waterfall floor.",9.8,AT MARKET
PSO Carient Ultra,5W-20,1.0,PCMO,Super Premium,1833.0,1900.0,2400.0,9,,No Shell super_premium data found for 5W-20 1.0L on Daraz.,1843.0,"Market (widened to all packs): min Rs 1,833/L, median Rs 1,900/L, max Rs 2,400/L (9 listings). CRP target: 3% below median = Rs 1,843/L. Positions PSO as best-value-in-class, not cheapest.",2660.0,"4L market anchor = Rs 1,900/L. PPA multiplier for 1.0L pack = 1.40x (40% premium vs 4L). Recommended: Rs 2,660/L. Ensures per-litre price ladder is legible to buyers.",2364.0,"Cost build-up: base oil (Group III) Rs 680/L + additive Rs 300/L + packaging Rs 60/L = Rs 1040/L. Target pocket margin (super_premium): 45%. Pocket price floor: Rs 1,891/L. After fleet discount (-20%), minimum list price: Rs 2,364/L. Any price below this destroys margin at the fleet channel.",2346.0,"Economy baseline (5W-20) = Rs 1,833/L. PSO Carient Ultra spec: API SP / ACEA A5 (fully synthetic, Group III+). International OEM approval premium for this spec: +28%. Spec-justified price: Rs 2,346/L. Premium only realised if spec is communicated at point of sale.",1843.0,1880.0,1788.0,"National list price (F2 CRP) = Rs 1,843/L. Central: +2% vs national (source: regional baseline) | North: -3% vs national (source: PCMO North soft YoY growth). Suggest applying as quarterly promotional price, not permanent list change.",2884.0,"Grade 5W-20 requires Group III base oil. Import cost floor: Rs 680/L. Additive package: Rs 300/L. Total manufacturing cost: Rs 1030/L. At 2.8x markup (industry standard for retail lubes): BOI floor = Rs 2,884/L. Pricing below this implies margin destruction or subsidised base oil.",2364.0,2364.0,HIGH,"Weighted synthesis (F2_CRP=Rs 1,843 | F3_PPA=Rs 2,660 | F5_SPEC=Rs 2,346 | F4_PW=Rs 2,364). Weights: F1=30%, F2=30%, F3=20%, F5=10%, F4=10%. Raw weighted = Rs 2,223/L. Adjusted UP to F4 floor Rs 2,364/L (margin protection).",2364.0,2080.0,2009.0,1891.0,"List price Rs 2,364/L. Workshop (-12%): Rs 2,080/L. Distributor (-15%): Rs 2,009/L. Fleet contract (-20%): Rs 1,891/L. Fleet price should never cross the F4 waterfall floor.",24.4,PREMIUM
PSO Carient Ultra,5W-30,1.0,PCMO,Super Premium,876.0,1019.0,1500.0,31,,No Shell super_premium data found for 5W-30 1.0L on Daraz.,988.0,"Market (widened to all packs): min Rs 876/L, median Rs 1,019/L, max Rs 1,500/L (31 listings). CRP target: 3% below median = Rs 988/L. Positions PSO as best-value-in-class, not cheapest.",1427.0,"4L market anchor = Rs 1,019/L. PPA multiplier for 1.0L pack = 1.40x (40% premium vs 4L). Recommended: Rs 1,427/L. Ensures per-litre price ladder is legible to buyers.",2319.0,"Cost build-up: base oil (Group III) Rs 680/L + additive Rs 280/L + packaging Rs 60/L = Rs 1020/L. Target pocket margin (super_premium): 45%. Pocket price floor: Rs 1,855/L. After fleet discount (-20%), minimum list price: Rs 2,319/L. Any price below this destroys margin at the fleet channel.",1121.0,"Economy baseline (5W-30) = Rs 876/L. PSO Carient Ultra spec: API SP / ACEA A5 (fully synthetic, Group III+). International OEM approval premium for this spec: +28%. Spec-justified price: Rs 1,121/L. Premium only realised if spec is communicated at point of sale.",988.0,1008.0,958.0,"National list price (F2 CRP) = Rs 988/L. Central: +2% vs national (source: regional baseline) | North: -3% vs national (source: PCMO North soft YoY growth). Suggest applying as quarterly promotional price, not permanent list change.",2828.0,"Grade 5W-30 requires Group III base oil. Import cost floor: Rs 680/L. Additive package: Rs 280/L. Total manufacturing cost: Rs 1010/L. At 2.8x markup (industry standard for retail lubes): BOI floor = Rs 2,828/L. Pricing below this implies margin destruction or subsidised base oil.",2319.0,2319.0,HIGH,"Weighted synthesis (F2_CRP=Rs 988 | F3_PPA=Rs 1,427 | F5_SPEC=Rs 1,121 | F4_PW=Rs 2,319). Weights: F1=30%, F2=30%, F3=20%, F5=10%, F4=10%. Raw weighted = Rs 1,323/L. Adjusted UP to F4 floor Rs 2,319/L (margin protection).",2319.0,2041.0,1971.0,1855.0,"List price Rs 2,319/L. Workshop (-12%): Rs 2,041/L. Distributor (-15%): Rs 1,971/L. Fleet contract (-20%): Rs 1,855/L. Fleet price should never cross the F4 waterfall floor.",127.6,PREMIUM
PSO Carient Ultra,5W-40,1.0,PCMO,Super Premium,2750.0,3412.0,4350.0,13,2530.0,"Shell super_premium equivalent median = Rs 2,750/L. PSO brand perception discount = 8% (narrows as Carient brand equity grows). Recommended: Rs 2,530/L.",3310.0,"Market (widened to all packs): min Rs 2,750/L, median Rs 3,412/L, max Rs 4,350/L (13 listings). CRP target: 3% below median = Rs 3,310/L. Positions PSO as best-value-in-class, not cheapest.",4777.0,"4L market anchor = Rs 3,412/L. PPA multiplier for 1.0L pack = 1.40x (40% premium vs 4L). Recommended: Rs 4,777/L. Ensures per-litre price ladder is legible to buyers.",2272.0,"Cost build-up: base oil (Group III) Rs 680/L + additive Rs 260/L + packaging Rs 60/L = Rs 1000/L. Target pocket margin (super_premium): 45%. Pocket price floor: Rs 1,818/L. After fleet discount (-20%), minimum list price: Rs 2,272/L. Any price below this destroys margin at the fleet channel.",3520.0,"Economy baseline (5W-40) = Rs 2,750/L. PSO Carient Ultra spec: API SP / ACEA A5 (fully synthetic, Group III+). International OEM approval premium for this spec: +28%. Spec-justified price: Rs 3,520/L. Premium only realised if spec is communicated at point of sale.",3310.0,3376.0,3211.0,"National list price (F2 CRP) = Rs 3,310/L. Central: +2% vs national (source: regional baseline) | North: -3% vs national (source: PCMO North soft YoY growth). Suggest applying as quarterly promotional price, not permanent list change.",2772.0,"Grade 5W-40 requires Group III base oil. Import cost floor: Rs 680/L. Additive package: Rs 260/L. Total manufacturing cost: Rs 990/L. At 2.8x markup (industry standard for retail lubes): BOI floor = Rs 2,772/L. Pricing below this implies margin destruction or subsidised base oil.",3287.0,3287.0,HIGH,"Weighted synthesis (F1_VBT=Rs 2,530 | F2_CRP=Rs 3,310 | F3_PPA=Rs 4,777 | F5_SPEC=Rs 3,520 | F4_PW=Rs 2,272). Weights: F1=30%, F2=30%, F3=20%, F5=10%, F4=10%. Raw weighted = Rs 3,287/L. Above F4 floor Rs 2,272/L — margin is protected.",3287.0,2893.0,2794.0,2630.0,"List price Rs 3,287/L. Workshop (-12%): Rs 2,893/L. Distributor (-15%): Rs 2,794/L. Fleet contract (-20%): Rs 2,630/L. Fleet price should never cross the F4 waterfall floor.",-3.7,AT MARKET
